Order_ID,Date,Product,Region,Quantity,Price,Total
ORD-00121,02/01/2025,Garri,East,16,2238.8,35820.8
ORD-00306,02/01/2025,Garri,North,19,2549,48431
ORD-00010,03/01/2025,Yam,West,23,1706,39238
ORD-00148,08/01/2025,Rice,South,16,7182.35,114917.6
ORD-00208,08/01/2025,Oil,North,25,3953,98825
ORD-00099,11/01/2025,Yam,West,24,1506.68,36160.32
ORD-00120,12/01/2025,Yam,South,16,2023.01,32368.16
ORD-00340,14/01/2025,Rice,West,25,8568.84,214221
ORD-00012,15/01/2025,Yam,North,4,1096,4384
ORD-00298,21/01/2025,Beans,North,19,5361.28,101864.32
ORD-00307,21/01/2025,Beans,North,2,5023,10046
ORD-00142,23/01/2025,Beans,West,23,5407.73,124377.79
ORD-00317,24/01/2025,Rice,North,4,5032.41,20129.64
ORD-00137,28/01/2025,Yam,West,23,1909,43907
ORD-00020,30/01/2025,Rice,West,2,6450.12,12900.24
ORD-00211,31/01/2025,Beans,South,19,4666,88654
ORD-00184,07/02/2025,Oil,West,11,3477.73,38255.03
ORD-00187,07/02/2025,Garri,South,16,3141,50256
ORD-00106,12/02/2025,Beans,West,4,5012,20048
ORD-00072,13/02/2025,Yam,North,10,1697.36,16973.6
ORD-00144,17/02/2025,Garri,North,19,2993.43,56875.17
ORD-00333,20/02/2025,Beans,North,2,3571.93,7143.86
ORD-00251,21/02/2025,Garri,West,3,3489,10467
ORD-00289,21/02/2025,Garri,East,10,3073.25,30732.5
ORD-00232,22/02/2025,Beans,East,14,5551,77714
ORD-00299,24/02/2025,Oil,South,25,3636.79,90919.75
ORD-00270,28/02/2025,Rice,North,10,6485,64850
ORD-00102,01/03/2025,Oil,North,18,4130.77,74353.86
ORD-00134,01/03/2025,Garri,East,9,2900,26100
ORD-00227,01/03/2025,Yam,West,10,1755.2,17552
ORD-00126,04/03/2025,Beans,North,1,5662,5662
ORD-00247,04/03/2025,Yam,North,15,1791,26865
ORD-00076,05/03/2025,Beans,South,19,3432,65208
ORD-00277,10/03/2025,Rice,North,24,6850.28,164406.72
ORD-00013,14/03/2025,Oil,North,24,4320.68,103696.32
ORD-00235,15/03/2025,Garri,North,6,3008,18048
ORD-00329,19/03/2025,Oil,East,9,4883,43947
ORD-00226,26/03/2025,Beans,North,4,4254,17016
ORD-00122,27/03/2025,Rice,West,14,7493.1,104903.4
ORD-00149,27/03/2025,Oil,South,24,4202,100848
ORD-00217,28/03/2025,Beans,West,24,4646,111504
ORD-00195,29/03/2025,Oil,East,24,4219.01,101256.24
ORD-00292,29/03/2025,Garri,South,11,3740,41140
ORD-00230,30/03/2025,Yam,South,9,1361.76,12255.84
ORD-00327,31/03/2025,Rice,East,18,5098,91764
ORD-00089,01/04/2025,Oil,South,16,3999,63984
ORD-00269,07/04/2025,Oil,West,24,2700,64800
ORD-00093,09/04/2025,Beans,South,25,3196,79900
ORD-00092,11/04/2025,Rice,North,12,7970.09,95641.08
ORD-00071,13/04/2025,Garri,West,10,3699,36990
ORD-00268,14/04/2025,Yam,West,4,1864,7456
ORD-00324,19/04/2025,Rice,North,14,5440.84,76171.76
ORD-00088,23/04/2025,Beans,South,19,3127,59413
ORD-00112,26/04/2025,Rice,South,16,7298,116768
ORD-00129,29/04/2025,Beans,East,10,5616,56160
ORD-00275,01/05/2025,Yam,South,15,1795.29,26929.35
ORD-00056,08/05/2025,Garri,North,2,3146,6292
ORD-00349,08/05/2025,Garri,North,25,2445,61125
ORD-00266,17/05/2025,Beans,North,23,4103,94369
ORD-00074,18/05/2025,Beans,North,10,4941,49410
ORD-00304,18/05/2025,Yam,West,16,1256,20096
