Order_ID,Date,Product,Region,Quantity,Price,Total
ORD-00302,2025-05-23,gari, East,12,3058.78,36705.36
ORD-00322,2025/11/13,Beens,South,12,3384.05,40608.60
ORD-00274,09-Jan-2026,Oyl,North ,9,2823.49,25411.41
ORD-00330,08/23/25,Garri,West,16,,
ORD-00349,05/08/2025,Garri,North ,25,2445,61125
ORD-00135,09/14/25,Oil,South,1,4139,4139
ORD-00124,26/03/2026,OIl,West,20,3705/unit,74100.00
ORD-00344,2025/11/29, Beens ,South ,2,3565.01,
ORD-00343,06-Sep-2025,Palm Oil,West ,14,3675,51450.00
ORD-00056,08-May-2025,gari,North,2,3146,
ORD-00122,3/27/2025,Rice  ,West,14,7493.10,104903.40
ORD-00058,2025-10-24 00:00,Yamms, South,3,1630,
ORD-00127,2025-10-24,oil,East,10,3789.34,
ORD-00289,21/02/2025,Garry,East,10,3073.25,
ORD-00154,06/12/2025,RicE,East,21,8153,"171,213.00"
ORD-00142,2025-01-23,beans,West ,23,5407.73,"124,377.79"
ORD-00280,2025-07-06,RicE,West,8,8202.96,"65,623.68"
ORD-00171,2/5/2026,gari,West,15,2596.38,73796.83
ORD-00215,2025/05/23,OIl ,East,4,4133.53,16534.12
ORD-00098,,OIl,South ,11,4199,46189
ORD-00152,10/11/25,BEANS,North,20,4727,70705.00
ORD-00318,21/06/2025,Beens,North,3,4183.29,12549.87
ORD-00102,03/01/2025,oil,North,18,4130.77,74353.86
ORD-00281,08/17/25,Beans ,West,,3720,
ORD-00053,07/16/25,OIl ,West,1,4776,
ORD-00200,3/13/2026,Beens, West,13,4917.02,63921
ORD-00340,14/01/2025,Rice ,West,25,8568.84,214221.00
ORD-00115,29/11/2025,Beans  ,South,0,5527,0
ORD-00084,09/06/2025,Garri (yellow),North,23,3365.92,-
ORD-00220,13/32/2025,yam ,East,14,1221.73,17104
ORD-00304,2025/05/18,Yam ,West,16,1256,20096.00
ORD-00072,13-Feb-2025,Yamms, North,10,1697.36,32249
ORD-00129,29/04/2025,BEANS,East,10,5616,56160
ORD-00058,2025-01-28 00:00, Yam tuber ,East,2,1296,
ORD-00296,2025-11-19,Rcie ,West,17,6157,104669.00
ORD-00333,20-Feb-2025,Beans  ,North,2,3571.93,7144
ORD-00321,29-Oct-2025,gari ,South,10,2759,27590.00
ORD-00307,1/21/2025,Beens,North,2,"5,023",10046.00
ORD-00224,22.11.2025,Gari,East,13,3440,88940.00
ORD-00001,2025-12-03 00:00,Yam tuber,South,23,,
ORD-00082,25-06-09 00:00,Rice (local) ,South,9,6305,"56,745.00"
ORD-00309,09/18/25,yam,East,19,1615.43,30693.17
ORD-00194,2025/08/22,Garri (yellow),North,13,2662.66,34614.58
ORD-00303,19/06/2025, Yamm, South,20,1725.39,34507.80
ORD-00250,2026-03-23 00:00,GARRI,West,4,2767.49,
ORD-00151,2025/07/03,BEANS ,West,5,3573,17865.00
ORD-00280,22/03/2025,YAM,East,8,1421,"11,368.00"
ORD-00203,2025-05-21,Rice ,East,8,7239.71,57918
ORD-00322,2025-11-27, Rice-50kg,West,12,6792.85,61335.65
ORD-00013,14-Mar-2025,Oyl,North,24,4320.68,"103,696.32"
ORD-00013,2025-11-14 00:00,Yamm, West ,,unknown,
ORD-00016,2025-07-09 00:00,yam,West,7,1482.30,
ORD-00279,2026/04/07, Yamm, North,19,1250.08,23751.52
ORD-00306,Jan 02 2025,Garri ,North,19,"2,549",
ORD-00270,28/02/2025,RicE,North,10,6485,64850
ORD-00228,07/02/2025,Vegetable oil,East,two,4393.40,
ORD-00111,09.08.2025,Yam ,West,22,-1949,"-42,878.00"
ORD-00333,07/10/25,Garr i,West,20,NULL,
ORD-00115,10/03/2026,gari,North,1,2288,2088.00
ORD-00073,2026-01-15,Yamm,East,two,"1,101",
ORD-00140,8/15/2025, Oil,East,10,2772.18,
ORD-00109,01/28/26,Yam tuber,West,22,-1836,"-40,392.00"
ORD-00013,2026/03/18,yam,East,23,-1946,-44758.00
ORD-00203,Mar 22 2026,Rce ,South,21,7993,352291.30
ORD-00215,18.11.2025,Palm Oil,East,3,3818.24,11454.72
ORD-00020,2025/01/30,Rcie,West,2,6450.12,9675.18
ORD-00045,01/01/2026,Yam ,South,25,1379.91,"34,497.75"
ORD-00288,Jul 17 2025,Veg. Oil,South,22,3628.14,60064.31
ORD-00270,,Bens,South,,NULL,
ORD-00020,2025/12/05,Beans,South ,24,3588,86112.00
ORD-00241,08-Apr-2026,Yamm,West,5,,
ORD-00053,2025-12-31 00:00,gari, West,12,3653,43836.00
ORD-00164,2025/02/20,Yamms,West ,,1299.53,
ORD-00057,Feb 02 2026, Yamm,West ,8,1750,14000.00
ORD-00269,04/07/2025,Oil, West,24,2700,64800
ORD-00171,2025-03-10,Yamm,South ,15,1086/unit,16290.00
ORD-00204,2026-02-22 00:00,GARRI,East,13,3312,43056.00
ORD-00266,17/05/2025,BEANS,North,23,4103,
ORD-00181,11/11/2025,Rce,South,15,-4697,-70455.00
ORD-00310,20.03.2025,Palm Oil,East,0,4477,0.00
ORD-00314,27.05.2025,BEANS,North,22,-3888,-85536
ORD-00327,2025/03/31,Rice-50kg,East,18,5098,91764.00
ORD-00210,26/02/2026,Yamm,South,2,1860,error
ORD-00266,Apr 04 2026,Oyl,North,5,3082.87,31870.13
ORD-00014,Jan 30 2026,rice,East,22,6265.74,TBD
ORD-00105,06/24/25,Garry,East ,4,2446,7338
ORD-00168,2025/10/23,Yamm, North,8,1259,10072
ORD-00275,05/01/2025,Yam,South,15,1795.29,"26,929.35"
ORD-00202,2025/07/11,Veg. Oil, North,17,3788.76,135458
ORD-00154,2025/10/31,Palm Oil,East ,10,4627.98,
ORD-00336,05-Feb-2026,Garri (yellow),North,15,"2,530",37950
ORD-00032,12/28/25,Yamms,South,22,1802.69,39659.18
ORD-00286,02-Jun-2025,Bens,West,9,3725.66,33530.94
ORD-00075,2025-05-29,Yam ,South,23,NULL,
ORD-00112,26-Apr-2025,RicE,South,16,7298,116268.00
ORD-00020,04/13/26,RICE,West,10,,
ORD-00045,26.05.2025,Rice-50kg,South,21,?5636,118356.00
ORD-00090,11/9/2025,RicE,East ,15,7734,"116,010.00"
ORD-00121,01/02/2025,Garri ,East,16,2238.80,35820.80
ORD-00341,27-Feb-2026,Rcie, East,,6863.82,NaN
ORD-00227,01-Mar-2025,Yam ,West ,10,1755.20,17552.00
ORD-00033,2025-10-05,RICE,South,14,6132,85848.00
ORD-00277,2025/03/10,Rice-50kg,North,24,6850.28,328613
ORD-00058,1/17/2025,Beans  ,North,8,4961,39488.00
ORD-00295,2025/06/13,oil,North,6,4206,25236
ORD-00164,12/23/2025,OIl,East,2,4049.09,error
ORD-00170,28/11/2025, Bean,North,24,4773/unit,229304.00
ORD-00061,18.01.2026,Yam,East,9,1400,12600
ORD-00105,2025/07/09, Beans,West,19,5215.08,99087
ORD-00329,14.01.2026,Rice-50kg,North,,,
ORD-00014,, Gari (white),West ,14,1981,"27,734.00"
ORD-00346,08/09/25,Bean,East,13,4193.06,-54009.78
ORD-00029,2025-11-23,Garr i,North,23,3575,
ORD-00279,13/32/2025,Bens,West,19,5218.60,188191.46
ORD-00333,2025-06-27,Veg. Oil,West,15,3871.79,58077
ORD-00309,01-Jun-2025,Beans, North,25,unknown,
ORD-00263,28/07/25,Veg. Oil,North,two,4885.81,
ORD-00217,03/28/25,beans,West,24,4646,
ORD-00203,6/20/2025,Veg. Oil,South,11,3379,37169.00
ORD-00202,06/07/2025,BEANS,West,23,3128.80,"71,962.40"
ORD-00130,12/04/25,Veg. Oil,West,18,4126,141309.20
ORD-00331,12/13/2025, RicE,South,19,"7,467",141873.00
ORD-00044,03/01/25,oil,West,,2770,
ORD-00115,15-Jan-2026,YAM,West,13,1078,14014
ORD-00215,27/12/2025,Gari (white),East,11,3046.49,25133.54
ORD-00315,30/10/2025,Rice (local),West,6,6606.18,"39,637.08"
ORD-00280,03/13/25,Garry,South,16,2704.62,"43,273.92"
ORD-00113,2025-05-30,Yamm,West ,0,1805,0.00
ORD-00280,4/22/2025,Garri  ,East,4,3371.65,13487
ORD-00085,11/12/25,Palm Oil,South,9,5012.42,"45,111.78"
ORD-00211,Jan 31 2025,Beans ,South,19,4666,
ORD-00048,2025-07-26 00:00,Yamm,North,two,1997.85,
ORD-00204,4/22/2025,GARRI,West,2,2141,error
ORD-00001,08-Aug-2025,Garri , East,two,3169,
ORD-00120,,Rice-50kg, West,14,7482,
ORD-00053,2025/06/10,Rice-50kg,North ,15,6033/unit,90495
ORD-00112,14/02/2025,Garry,South,20,3052.01,61040
ORD-00266,2025-11-07 00:00,Beans  ,West ,1,5634,5634.00
ORD-00242,30/01/26,RICE,West,14,6339.61,"88,754.54"
ORD-00013,19-Sep-2025,Vegetable oil,North,8,-2803,-22424
ORD-00337,01/15/26,beans,East,9,N/A,
ORD-00269,Feb 02 2025,Yamm ,South,0,1609,0.00
ORD-00126,24.01.2025,RICE,West,11,-5696,-62656
ORD-00112,1/24/2025,Garri ,North,24,3093.35,74240.40
ORD-00126,,Rice ,West,0,6788,
ORD-00144,2025-02-17,Gari (white),North,19,2993.43,113950.34
ORD-00168,12.06.2025, Vegetable oil ,West,25,3172,
ORD-00288,2025-06-05,Beans ,North,1,5539.22,"5,539.22"
ORD-00126,2025-03-04,Bean,North,1,?5662,5662.00
ORD-00170,2025-03-04,YAM,North,6,1318,7908
ORD-00282,2025-09-03,oil,North,18,4590.14,-165045.04
ORD-00215,2025-05-24,Vegetable oil,North,24,2798,67152.00
ORD-00089,01-Apr-2025, Vegetable oil,South,16,"3,999",
ORD-00309,,Bean,South,1,3343,
ORD-00187,2025/02/07,Garr i,South,16,"3,141",50256
ORD-00115,12/07/25,BEANS,West,6,4584.52,57264.95
ORD-00122,2025/06/27,Garr i,South,24,1962.33,47095.92
ORD-00280,12/07/2025,Beens ,North,3,3873,
ORD-00048,23.06.2025,Veg. Oil,North,18,4443,-119461.00
ORD-00079,25/01/28,Veg. Oil ,South,two,4744,
ORD-00047,2025-11-25 00:00,BEANS,West,5,4993,53176.50
ORD-00199,2026-02-24 00:00,Yamms, East,17,1606.94,"27,317.98"
ORD-00230,03/30/25, YAM,South,9,1361.76,
ORD-00283,13/32/2025,Vegetable oil,West,4,4944,41729.60
ORD-00293,08.11.2025,Veg. Oil,West,24,3833,184184.00
ORD-00051,21-Mar-2026,Gari,North,24,2841,
ORD-00034,2025-06-09 00:00, Palm Oil,South,12,4400.45,52805.40
ORD-00303,08.09.2025,Garry,East,13,2050.36,39782.02
ORD-00011,2026-03-19,Rice,East,13,8147,222413.10
ORD-00340,2026/03/08,RicE,East,23,8572,197156.00
ORD-00308,2025/07/26,GARRI,West,7,2584.56,18092
ORD-00154,03/09/26,RicE,South,8,6051,48408.00
ORD-00061,2025-08-29,Rce,North,2,"8,229",16458
ORD-00235,2025/03/15,Garr i, North,6,"3,008",18048.00
ORD-00220,7/26/2025,Bean,East,,2951,
ORD-00053,2025-07-16 00:00,Garri ,East,16,?2613,41808.00
ORD-00068,2025-04-19,RICE,North ,0,,
ORD-00064,Oct 08 2025,Rice,East,4,6711,26844
ORD-00268,2025/04/14,Yam tuber,West ,4,1864,
ORD-00052,Apr 09 2026,Garri ,South,22,2529,"55,638.00"
ORD-00340,11/28/25,gari ,East,9,3480,31320.00
ORD-00333,01/31/25,Palm Oil,West,24,free,
ORD-00024,,oil,South,17,4359,74103
ORD-00077,13/32/2025,beans,West ,8,3843.34,30747
ORD-00016,15.02.2026,Yam tuber ,West,,1138.62,
ORD-00106,02.12.2025,Beens,West,4,5012,20048.00
ORD-00055,01/24/25, yam,South,7,free,
ORD-00345,29/10/2025,Oil,North,17,4589.27,error
ORD-00288,2025/11/04,Beans ,East,23,5359.97,123279
ORD-00112,13-Apr-2025,Rice-50kg,South,4,7764.27,31057
ORD-00274,5/27/2025, Beans ,East,9,-3339,-30051.00
ORD-00232,2025-02-22 00:00,Beans ,East ,14,5551,"77,714.00"
ORD-00318,21.03.2026,Gari (white),South,6,-3749,-22494.00
ORD-00347,Oct 12 2025,Garr i,North,,3656.93,
ORD-00184,2025/02/07,Oil, West,11,3477.73,38255.03
ORD-00333,05/01/2025,Beans ,East,0,3640,0.00
ORD-00250,Jan 23 2025,RicE,North,7,8204,57428
ORD-00332,23/02/2026, Garr i ,South,8,3618,28944.00
ORD-00328,25/11/2025,Rce,East,two,7783,
ORD-00274,04/23/25,GARRI,East ,5,,
ORD-00044,06-Jun-2025,yam,South,7,1161.76,
ORD-00282,2025-08-25 00:00,Bean,East,10,4631,46310.00
ORD-00290,2025/10/18,Gari,West,11,3557,81666.70
ORD-00072,2026-04-02 00:00,Rce,North,7,8379.13,58654
ORD-00115,Apr 02 2026,Gari (white),South,19,3686.66,70046.54
ORD-00048,29/04/2025,oil,West,,NULL,
ORD-00135,2025-10-24 00:00,Vegetable oil,East,12,4678.57,"56,142.84"
ORD-00226,26-Mar-2025,BEANS,North,4,4254,TBD
ORD-00058,03/07/25, Beans,South,21,2990.83,62607
ORD-00088,4/23/2025,BEANS,South,19,3127,
ORD-00259,12/17/2025, Veg. Oil, North,18,4703.98,84671.64
ORD-00112,08-Aug-2025,Garry,North,3,2475,13607.50
ORD-00014,2025/04/16,Vegetable oil,West,13,4524.78,58822.14
ORD-00158,2025/10/23,Rice (local), South,18,7144,128592
ORD-00242,11/4/2025, Veg. Oil,West,20,2801,"56,020.00"
ORD-00266,27-May-2025,Beens,East ,9,5068,45612
ORD-00013,Oct 09 2025,Garry,South,,2278.56,
ORD-00060,2026-02-16 00:00,Palm Oil,West,25,3793.36,
ORD-00013,15-Jul-2025,Garry ,East ,11,2098,23078.00
ORD-00350,11-Apr-2026,Garri,South,4,3634.74,14538.96
ORD-00048,2025/07/10,gari,East,17,3414.67,58049
ORD-00141,13/32/2025,Bens ,East,8,3675,21850
ORD-00206,24.05.2025,Beens,South,24,3348,80352
ORD-00162,07.02.2026, Yam,South,15,1775,26625.00
ORD-00180,21-Mar-2026,GARRI,West,,3076.87,
ORD-00173,8/4/2025,Beens,East,25,5295.46,132386.50
ORD-00333,May 01 2025,beans ,West ,25,NULL,TBD
ORD-00127,Jan 13 2026, beans,East,9,NULL,TBD
ORD-00326,3/26/2026,Garry,North,10,1979.21,NaN
ORD-00005,13/32/2025,YAM,North,14,"1,434",20076.00
ORD-00217,17-Nov-2025,gari,East,10,2160,21600.00
ORD-00120,01/12/25,Yam , South,16,2023.01,48052.24
ORD-00093,Apr 09 2025,Beans ,South ,25,3196,79900
ORD-00333,2025-01-22 00:00,Bean ,South,1,3396,"3,396.00"
ORD-00102,09/01/25,Rcie, North,4,5081.62,20326
ORD-00099,1/11/2025,Yam tuber,West,24,1506.68,"36,160.32"
ORD-00231,Jun 01 2025,Oil,North,11,4440.88,48849.68
ORD-00314,2025/05/25, Rce,South,4,4684,18736.00
